duration_ms,explicit,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
210973,False,2009,0.597,0.684,7,-6.614,1,0.0321,0.00481,0.105,0.317,0.435,130.99
223293,False,2002,0.855,0.681,2,-4.955,1,0.0688,0.0881,3.7e-06,0.0592,0.908,99.699
267080,False,2008,0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92e-05,0.0535,0.542,122.668
151640,False,2006,0.7,0.465,4,-6.815,1,0.358,0.544,0.0,0.606,0.719,108.102
190493,False,2004,0.802,0.672,7,-4.971,1,0.0847,0.0775,0.0,0.136,0.619,96.525
288133,True,2009,0.733,0.664,8,-6.163,1,0.295,0.102,0.0,0.191,0.557,148.005
171029,False,2019,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.347,102.998
213760,True,2003,0.751,0.84,6,-4.855,1,0.349,0.367,0.0,0.0916,0.801,99.057
248133,True,2010,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635
166866,False,2012,0.676,0.935,11,-4.55,1,0.0692,0.357,0.0,0.853,0.85,96.055
297426,False,2005,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994
253706,True,2007,0.621,0.6,8,-6.349,1,0.576,0.277,0.0,0.495,0.485,80.021
199440,False,2017,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996
223253,False,2009,0.739,0.741,7,-5.873,1,0.0912,0.013,0.0,0.0679,0.727,122.988
202800,False,2000,0.822,0.847,10,-6.729,0,0.0917,0.0854,0.0,0.0452,0.668,107.908
216120,False,2014,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089
230013,False,2002,0.734,0.848,1,-5.285,0,0.0309,0.00312,1.16e-05,0.313,0.863,117.31
280626,False,2000,0.63,0.95,1,-4.012,1,0.0806,0.000915,6.51e-06,0.373,0.858,143.866
292000,False,2001,0.699,0.403,11,-8.564,0,0.0614,0.421,0.0,0.126,0.5,113.922
264011,False,2017,0.499,0.676,0,-8.618,0,0.0582,0.588,0.00484,0.358,0.295,99.979
229813,True,2006,0.886,0.62,5,-5.854,1,0.307,0.082,0.0,0.1,0.6,76.035
244826,False,2003,0.655,0.488,1,-9.17,1,0.22,0.0825,1.16e-06,0.221,0.791,91.025
212560,False,2012,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934
224146,False,2004,0.567,0.747,6,-6.019,0,0.105,0.31,0.0,0.04,0.556,89.036
235662,True,2013,0.681,0.463,6,-6.542,0,0.289,0.128,0.0,0.0769,0.661,82.92
198973,True,2018,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169
229506,False,2012,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956
195986,False,2011,0.813,0.732,7,-5.636,1,0.03,0.0597,0.00137,0.0826,0.731,130.02
202613,False,2010,0.751,0.783,4,-3.724,1,0.0859,0.00379,0.0,0.036,0.816,119.975
161123,False,2013,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004
267320,False,2004,0.718,0.786,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916
267066,False,2016,0.891,0.628,2,-7.863,1,0.0551,0.00258,0.00019,0.0504,0.552,134.966
289080,True,2012,0.373,0.686,0,-5.52,1,0.034,0.128,1.96e-06,0.383,0.189,93.763
253933,True,2004,0.644,0.517,7,-10.02,1,0.0803,0.0065,1.37e-06,0.158,0.464,169.799
196266,True,2019,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115
154447,False,2019,0.736,0.81,5,-6.354,1,0.0906,0.077,0.0,0.0523,0.387,125.011
206776,False,2012,0.31,0.926,6,-1.131,0,0.0464,0.0184,0.00792,0.483,0.493,139.85
203346,False,2008,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398
223066,False,2002,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95
242253,True,2015,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003
233600,False,2004,0.607,0.874,5,-5.409,0,0.0349,0.00331,0.0494,0.26,0.846,130.015
196986,False,2001,0.51,0.48,11,-6.567,1,0.0452,0.503,0.0,0.106,0.496,182.862
216013,True,2014,0.743,0.861,3,-5.234,1,0.0428,0.00518,0.0,0.181,0.391,111.959
242293,False,2006,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328
244226,True,2014,0.702,0.629,1,-4.292,1,0.041,0.0506,0.0,0.0963,0.446,141.967
173680,False,2006,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183
258760,True,2010,0.431,0.894,5,-2.673,0,0.33,0.0951,0.0,0.188,0.605,162.161
257386,False,2014,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014
448573,False,2006,0.687,0.723,7,-4.751,1,0.0709,0.122,0.00102,0.573,0.432,76.0
219720,False,2012,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019
340920,True,2001,0.663,0.694,10,-8.627,0,0.171,0.0253,0.0,0.0698,0.525,167.953
226986,False,2013,0.561,0.836,9,-3.939,1,0.1,0.0525,0.0,0.136,0.517,127.923
250546,False,1999,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859
199480,False,2011,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021
217925,True,2018,0.835,0.626,1,-5.833,1,0.125,0.0589,6e-05,0.396,0.35,91.03
208373,False,2016,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803
199040,False,2008,0.791,0.733,5,-5.123,0,0.029,0.00189,0.201,0.0859,0.917,105.987
220293,True,2016,0.63,0.804,6,-4.183,1,0.0363,0.215,0.0,0.253,0.492,123.146
235653,True,2015,0.48,0.682,7,-4.94,1,0.13,0.0696,0.0,0.0463,0.506,167.939
238733,False,2002,0.557,0.533,10,-6.817,0,0.0252,0.0492,0.0,0.205,0.233,143.994
251280,False,2003,0.542,0.589,8,-6.813,1,0.0284,0.246,0.0,0.188,0.336,133.838
263226,True,2002,0.884,0.677,1,-5.603,1,0.283,0.0778,0.0,0.0732,0.584,101.868
276160,False,2006,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952
196533,False,2010,0.769,0.922,1,-1.966,1,0.108,0.000939,0.197,0.233,0.506,127.965
223133,False,2003,0.762,0.885,0,-5.096,0,0.0395,0.0371,0.0,0.0519,0.886,117.021
214306,False,2002,0.555,0.496,10,-6.136,1,0.028,0.333,0.0,0.0956,0.27,79.01
302760,False,2001,0.469,0.316,10,-8.106,1,0.0265,0.504,6.04e-06,0.0919,0.199,77.967
248066,True,2008,0.661,0.584,1,-5.09,1,0.061,0.00293,4.82e-06,0.134,0.0949,159.873
237359,False,2019,0.786,0.614,5,-6.554,0,0.0574,0.00616,0.0,0.049,0.742,103.887
338853,True,2008,0.375,0.862,11,-3.363,0,0.255,0.071,0.0,0.211,0.478,159.841
248680,True,2004,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003
193653,False,2005,0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853
189693,False,2009,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029
232946,False,2012,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075
226738,False,2015,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001
252466,False,2003,0.562,0.219,4,-13.2,1,0.0312,0.856,0.000296,0.0979,0.106,127.831
258653,False,2005,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567
208600,False,2003,0.735,0.466,6,-8.65,0,0.0857,0.239,6.24e-06,0.102,0.643,99.973
294600,False,2001,0.32,0.88,2,-6.035,1,0.0504,0.000101,4.31e-06,0.076,0.257,146.349
202496,False,2014,0.494,0.951,9,-4.237,1,0.132,0.000569,0.0,0.327,0.441,160.025
188560,False,2018,0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014
313684,False,2014,0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016
267160,False,2001,0.489,0.757,11,-4.062,0,0.0926,0.00981,0.0,0.234,0.567,168.004
257920,False,2003,0.6,0.796,2,-4.481,1,0.0275,0.000109,5.2e-05,0.484,0.75,105.991
241160,True,2013,0.667,0.61,1,-7.054,1,0.217,0.322,0.000203,0.426,0.465,99.991
283400,True,2013,0.772,0.685,5,-6.849,1,0.0696,0.019,8.96e-05,0.131,0.501,130.033
247946,True,2007,0.63,0.782,8,-5.44,0,0.132,0.0828,0.0,0.034,0.418,140.144
324306,True,2002,0.648,0.759,6,-4.315,1,0.306,0.0142,0.0,0.648,0.518,85.996
207200,False,2009,0.762,0.702,0,-5.87,1,0.0432,0.0167,0.0,0.314,0.898,127.029
245773,True,2002,0.649,0.536,5,-8.804,0,0.132,0.492,0.0,0.184,0.513,78.935
195200,False,2015,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052
206106,True,2003,0.97,0.72,1,-3.347,0,0.149,0.0369,0.000389,0.326,0.962,107.17
173720,False,2017,0.733,0.892,0,-3.641,1,0.0417,0.0376,0.0,0.137,0.675,95.989
200053,False,2005,0.642,0.851,6,-3.638,1,0.0431,0.0248,0.0146,0.084,0.777,127.988
165120,False,2007,0.463,0.836,2,-2.776,0,0.0381,0.000418,7.38e-06,0.25,0.713,141.955
219533,False,2007,0.753,0.759,8,-4.829,1,0.0487,0.0523,0.0,0.0263,0.706,114.999
174853,False,2013,0.681,0.835,0,-5.705,0,0.049,0.00176,0.00183,0.354,0.469,124.047
215431,False,2004,0.809,0.965,0,-3.947,1,0.0427,0.177,0.0,0.0577,0.672,130.103
239853,True,2016,0.603,0.725,6,-3.054,1,0.0393,0.174,0.0,0.0786,0.304,122.803
222453,False,2006,0.616,0.855,4,-3.495,0,0.042,0.00379,0.000863,0.318,0.686,124.191
232549,False,2017,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997
237733,True,2005,0.7,0.538,1,-5.952,1,0.045,0.000204,0.0,0.105,0.189,136.518
206333,False,2008,0.546,0.712,3,-3.104,0,0.0269,0.000969,0.0,0.406,0.489,150.154
238000,False,2013,0.575,0.821,0,-5.7,1,0.0527,0.181,0.0,0.124,0.449,118.021
224813,False,2016,0.592,0.8,6,-4.931,0,0.215,0.0561,2.01e-06,0.0775,0.728,89.972
114893,False,2019,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848
217346,False,2014,0.596,0.738,8,-3.109,1,0.0411,0.109,0.0,0.0947,0.461,127.961
304666,False,2000,0.569,0.385,1,-9.919,0,0.0499,0.342,0.0,0.0876,0.339,99.738
210367,False,2018,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062
220706,False,2011,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976
207906,False,2001,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-06,0.152,0.637,103.376
268693,False,2001,0.443,0.769,2,-5.529,1,0.0312,0.00138,0.0,0.0677,0.17,147.973
256000,False,2003,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098
236133,False,2014,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992
215064,False,2017,0.628,0.797,11,-3.953,0,0.0596,0.0364,0.0,0.104,0.321,106.93
183414,False,2016,0.632,0.575,5,-6.478,1,0.029,0.0225,1.81e-06,0.104,0.188,90.037
284733,True,2008,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932
335613,True,2002,0.675,0.607,11,-3.538,1,0.162,0.0302,8.97e-06,0.339,0.56,177.928
185131,False,2015,0.819,0.768,8,-8.522,1,0.134,0.234,0.0,0.334,0.964,139.982
201946,False,2010,0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223
200104,False,2017,0.698,0.882,4,-3.078,0,0.0863,0.127,0.0,0.15,0.445,106.083
226053,False,2003,0.612,0.735,8,-5.074,0,0.0282,0.00202,0.00118,0.328,0.783,126.326
220573,False,2016,0.611,0.7,9,-5.331,1,0.0436,0.0199,0.0,0.0549,0.213,104.981
237173,False,2007,0.584,0.681,1,-5.084,0,0.0781,0.495,0.0,0.289,0.821,79.702
253400,True,2007,0.619,0.709,7,-4.633,1,0.0395,0.00541,0.0,0.507,0.68,144.972
238266,False,2006,0.772,0.59,6,-6.957,1,0.183,0.0917,0.0,0.101,0.743,83.998
214226,True,2005,0.925,0.659,3,-4.763,1,0.231,0.206,7.88e-05,0.279,0.71,97.018
255266,False,2002,0.859,0.658,8,-4.481,1,0.192,0.0326,0.00181,0.0651,0.538,98.989
236693,False,2008,0.752,0.921,5,-4.321,0,0.0696,0.0182,0.0,0.256,0.634,115.033
232800,False,2012,0.71,0.882,4,-2.932,0,0.0595,0.00777,0.00771,0.294,0.875,128.016
267000,True,2010,0.47,0.904,0,-4.024,0,0.177,0.0436,0.0,0.0491,0.557,155.788
202192,True,2019,0.641,0.559,7,-11.132,0,0.0355,0.404,0.00402,0.0937,0.523,144.982
284000,False,2002,0.797,0.622,6,-5.642,0,0.29,0.0807,0.0,0.0841,0.731,93.02
246466,False,2006,0.756,0.77,1,-3.502,1,0.0343,0.191,0.0,0.178,0.73,119.961
289133,False,2009,0.743,0.766,0,-6.375,1,0.0265,0.0873,0.0,0.509,0.61,127.96
199427,True,2019,0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985
231000,False,2014,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933
195853,True,2010,0.813,0.627,11,-5.018,0,0.0486,0.0771,0.000616,0.131,0.801,130.011
193733,True,2004,0.637,0.834,3,-4.686,0,0.323,0.614,0.0,0.317,0.715,87.312
177666,False,2018,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891
216360,False,2000,0.537,0.858,1,-4.903,1,0.0349,0.000966,0.0,0.0812,0.502,124.599
286480,False,2012,0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881
237480,True,2011,0.846,0.438,11,-4.981,1,0.141,0.2,9.43e-05,0.0939,0.512,85.013
195240,True,2011,0.663,0.843,2,-3.672,1,0.049,0.0491,0.0,0.364,0.375,140.036
353893,False,2013,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163
245173,True,2009,0.517,0.492,5,-8.05,1,0.0272,0.0275,3.19e-05,0.0873,0.455,138.585
209533,False,2007,0.822,0.905,5,-4.032,0,0.241,0.123,0.0,0.0496,0.674,128.014
214866,False,2017,0.718,0.609,0,-4.699,0,0.043,0.281,3.29e-05,0.234,0.497,122.95
217466,False,2018,0.601,0.794,7,-5.844,0,0.0671,0.00987,1.36e-06,0.388,0.244,114.066
222653,False,2018,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005
179160,True,2005,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.107,0.595,102.017
222293,True,1999,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974
245133,True,2001,0.839,0.706,5,-6.104,0,0.199,0.208,0.0,0.242,0.839,96.673
226000,False,2011,0.443,0.683,2,-5.521,1,0.0343,0.0198,5.26e-06,0.313,0.447,81.986
254026,False,2001,0.514,0.911,1,-2.027,0,0.41,0.0559,0.0,0.775,0.619,161.109
219026,True,2012,0.787,0.666,11,-4.475,1,0.0485,0.0409,1.91e-05,0.296,0.485,140.008
203000,False,2017,0.645,0.741,5,-4.989,0,0.0339,0.0323,0.0,0.29,0.534,123.07
207629,False,2017,0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985
165853,False,2001,0.643,0.849,2,-5.428,1,0.0526,0.0371,0.0,0.058,0.903,162.152
208728,False,2016,0.672,0.589,7,-5.008,0,0.049,0.082,0.0,0.0962,0.379,120.036
217440,False,2004,0.505,0.799,2,-4.286,1,0.0773,0.0572,0.0,0.11,0.772,174.001
258800,False,2019,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987
242373,False,2008,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
256426,False,2006,0.775,0.731,8,-5.446,1,0.134,0.189,0.0,0.129,0.821,131.105
274440,True,2005,0.963,0.643,1,-5.785,0,0.117,0.0507,4.94e-05,0.157,0.534,107.005
195105,False,2011,0.726,0.931,11,-4.152,0,0.0468,0.0218,0.000283,0.143,0.797,126.976
189486,True,2018,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023
216146,False,2007,0.715,0.8,4,-5.144,0,0.057,0.0271,0.0,0.0648,0.445,129.023
217866,False,2010,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867
214819,False,2000,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017
200186,False,2012,0.658,0.837,2,-2.063,1,0.0543,0.0629,0.0,0.0969,0.936,126.015
244884,False,2011,0.863,0.527,0,-6.896,1,0.0358,0.607,0.000168,0.107,0.674,129.054
188013,True,2013,0.578,0.825,1,-6.107,1,0.322,0.000986,0.0,0.176,0.283,130.089
255093,False,2013,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014
225106,True,2004,0.828,0.653,0,-6.245,0,0.0653,0.214,3.25e-06,0.0404,0.575,68.507
289359,False,2010,0.514,0.83,11,-6.077,0,0.044,0.0378,1.43e-06,0.122,0.138,100.631
261266,True,2004,0.49,0.679,8,-3.68,1,0.0309,0.00394,1.54e-05,0.0383,0.506,167.046
204956,True,2014,0.847,0.769,11,-5.761,0,0.258,0.0145,0.00012,0.0767,0.626,126.017
231266,True,2018,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038
181823,False,2019,0.659,0.625,4,-2.253,1,0.045,0.0644,0.0,0.582,0.442,88.042
209866,False,2014,0.521,0.754,5,-4.144,1,0.0634,0.0373,0.0,0.239,0.352,125.876
180493,False,2018,0.856,0.632,6,-3.692,0,0.074,0.193,0.0,0.0688,0.697,112.009
219840,False,2014,0.806,0.608,1,-7.008,1,0.0659,0.0113,0.0,0.635,0.849,95.049
244666,False,2003,0.778,0.879,8,-4.951,0,0.0371,0.399,0.792,0.15,0.942,98.077
239986,False,2009,0.839,0.804,1,-2.513,1,0.0329,0.0192,0.0,0.331,0.888,122.973
257426,False,2004,0.663,0.746,2,-3.567,0,0.0321,0.0697,0.0,0.0929,0.325,102.847
231986,False,2013,0.546,0.787,7,-4.1,0,0.0517,0.0101,0.00021,0.0809,0.573,79.979
199693,False,2016,0.716,0.908,8,-3.254,0,0.103,0.0858,0.0,0.135,0.869,91.03
285570,False,2003,0.793,0.698,11,-3.626,1,0.104,0.163,0.145,0.0745,0.339,130.017
230346,False,2002,0.646,0.638,11,-5.803,1,0.0787,0.0556,0.0014,0.182,0.74,86.994
194407,False,2018,0.687,0.785,1,-4.65,1,0.0333,0.327,0.0,0.203,0.655,106.046
151973,False,2012,0.762,0.754,0,-3.425,0,0.046,0.00022,0.0665,0.146,0.715,129.026
288624,True,2018,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972
266600,False,2012,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961
